ID,Bucket,Criterion,What pass requires,Notes,Conditional
P1,P — Pedagogy,Standard scope preserved,"The target standard is named consistently across all three tiered worksheets, and the tasks on each tier address that standard — no tier substitutes a different concept or skill. FIRST identify the structurally hardest case of the target standard yourself; verify it stays in play at EVERY tier — scaffolded at the Below tier, not dropped. State the hardest case in the explanation.",,
P2,P — Pedagogy,Prereq / forward grounding,"Below tier explicitly names a specific prerequisite standard or concept (by standard code or full name). Above tier explicitly names a specific forward standard or extension concept. Both must appear in the teacher plan and be traceable to the tier's design. A related concept is acceptable in place of a different standard — but it must be explicitly named, not implied. A vague reference ('students should have some background') does not pass.",,
P3,P — Pedagogy,Scaffolds support thinking,"No scaffold in any tier provides the answer directly: no fill-in-the-blank with only one possible word, no embedded answer key, no step-by-step guide requiring zero student decisions, and no keyword or shortcut strategies (math: ""'together' means add""; ELA: ""the central idea is always in the first sentence""; a sentence starter that hands the student the claim). At least one problem or task in each tier requires a student decision that is not resolved by the scaffold provided.",,
P4,P — Pedagogy,Proficiency-based differentiation,"The differentiation between tiers is achieved by varying supports and cognitive demand, not by varying topic, text type, or learning channel (visual/auditory/kinesthetic). Below and At tiers address the same question in the same context; Above extends the same task.",Catches the learning-styles failure mode.,
P5,P — Pedagogy,Invisible-modifications rule,"Every tier works toward the SAME objective in the SAME scenario or text context. Task wording and supports MAY vary between tiers — judge the goal, not the phrasing. Differences must be limited to phrasing, added supports, visual aids, sentence frames, or a reduced number of tasks. Fail ONLY if a tier changes the goal, the context, or the kind of work students produce (e.g., one tier writes about a different topic, or answers multiple-choice while the others compose). Quote any tier where the goal or context itself changed.",,
P6,P — Pedagogy,Concrete representations at Below tier,"Below-tier materials include at least one concrete representation or visual support — e.g., math: number line, tape diagram; ELA: story map, paragraph frame, text-evidence chart, annotation frame; science/social studies: labeled diagram, graphic organizer, image — on the same page or activity as a target-concept task, not relegated to a separate reference section.",,
P7,P — Pedagogy,Scaffold fade pattern,"Scaffolds are not uniformly present across all problems. Some problems have more support than others, creating a visible reduction in scaffold density within the tier or across the problem set (e.g., the last tasks in each tier carry less embedded support than the first).",,
P8,P — Pedagogy,Flexible grouping language,"Teacher plan states tier assignments explicitly, justifies how students are assigned to tiers (what evidence places a student in a tier), and includes language indicating groups are revisable based on formative evidence from this lesson (e.g., exit-ticket-driven regrouping) — not static ability tracks.",,
P9,P — Pedagogy,No curriculum bleed-through,"If the teacher has not confirmed using a specific curriculum, the output contains no references to curriculum-specific routine names, activity structures, or proprietary material names (e.g., no ""IM centers,"" no ""scientist circle,"" no ""text-based answer protocol,""). Auto-pass if teacher confirmed curriculum use in the prompt.",Catches curriculum-specific routines leaking into outputs for teachers who never mentioned that curriculum.,
R1,R — Rigor,Cognitive demand preserved across tiers,"All three tiers require students to do more than compute or recall: at least one task in each tier asks students to explain, justify, compare, or apply their understanding. No tier is limited to rote procedural steps — name any tier that is.",,
R2,R — Rigor,Engagement preserved at Below tier,"The problem context, real-world scenario, or narrative setting used in the At-tier worksheet appears — unchanged or closely parallel — in the Below-tier worksheet. Below tier does not receive a stripped-down or drill-only version of the task while At/Above receive the interesting version.",Avoids creating 'work' for the Below tier and 'fun' for the Above tier.,
R3,R — Rigor,Student agency prompt on each worksheet,"Each tiered worksheet includes at least one open-ended or self-reflection prompt (e.g., ""explain your thinking,"" ""what strategy did you use?"", ""how confident are you?""). A 'show/explain how you know' prompt attached to a task counts. The prompt appears on all three tiers — name any tier missing it.",Keeps differentiation from becoming rote.,
O1,O — Output/Format,"Correct file structure, complete in one output turn","Output includes a single cohesive teacher-facing plan and three separate student-facing worksheets (Groups A, B, C — below / at / above tier), all delivered with substance in a single output turn once the build is underway. The in-chat draft, clarifying questions, and the turns that answer them precede the build and do not count against this criterion.",,
O2,O — Output/Format,Formative checks included,"Teacher plan includes at least one mid-lesson check point more specific than ""circulate and observe"" — a check with a defined trigger, artifact, or decision — plus a tiered exit ticket whose sort buckets (Got it / Almost there / Needs re-teaching) carry explicit criteria distinguishing them.",,
O3,O — Output/Format,Anchor activity included,"Teacher plan includes an explicitly labeled anchor activity (e.g., ""Early finishers:"" or ""Anchor activity:"") that asks students to produce something — an explanation, a creation, a connection, or a question — rather than complete additional practice problems identical to the main worksheet.",,
O4,O — Output/Format,Teacher rationale notes,"Teacher plan includes at least two explicitly labeled rationale notes (e.g., ""Why this works:"", ""Pedagogical note:"") that each name a specific tier design choice and state a reason for it. Generic statements (""scaffolds help learners"") do not count.",,
O5,O — Output/Format,Universal design access features,"Differentiated materials include at least two of the following features applied across all tiers, not only the Below tier: sentence stems or frames, vocabulary glossary or word bank, diagram or visual representation, bilingual support, or multiple-format response option. Name the features and where they appear; features appearing only on the Below tier do not satisfy this.",,
O6,O — Output/Format,Teacher/student artifact alignment,"Two-direction cross-read. Direction 1: every task or activity the teacher plan describes for students has a corresponding student-facing version in at least one worksheet (anchor activities included — if the plan says early finishers build or write something, a printed task for it must exist somewhere). Direction 2: every discrete task on each worksheet appears in the teacher plan's description of that tier. List every mismatch with the document and task quoted; pass only if BOTH directions are clean.",Independent check of teacher/student mismatch — a common failure mode.,
O7,O — Output/Format,Closing next-steps section present,"Teacher plan closes with a labeled section (heading or inline label using terms such as 'Next Steps', 'Follow-up options', 'Iterations available', or equivalent) that provides substantive, lesson-specific guidance. The section must address at least three distinct outcomes or actions — e.g., what to do for each exit-ticket sort bucket, or what follow-up options are available for specific learner needs. Guidance must be specific to this lesson's content and student evidence; generic placeholders ('let me know if you want changes', 'adjust as needed') do not count. Pass if a teacher could act on the section without additional context.",,
M1,M — Model Scaffolding,Source lesson detected,"Reads uploaded source lesson on first attempt; names the standard correctly (correct code and verbatim text, or close paraphrase that preserves meaning).",,
M2,M — Model Scaffolding,Learner needs question,"Before or alongside first generation, asks about specific learner needs (multi-lingual learner, individual education plan, etc) or explicitly states that universal design defaults are applied if no information is provided. Silence on learner needs is a fail.",,
M3,M — Model Scaffolding,Asks scope if needed,Asks for tier scope if unspecified; auto-passes when scope is already given in the prompt.,,
M4,M — Model Scaffolding,Iteration options at close,"Closes with 3+ specific, lesson-relevant follow-up options (e.g., WIDA English Language Development tiering, IEP-specific scaffolds, 4th intervention tier, tighten scope). Options must be specific to the lesson — not a generic menu (""I can adjust difficulty, add problems, or change formatting"" fails).",,
O10,O — Output / Formatting,Student-facing voice,"Student worksheets use age-appropriate student language. Instructional-design terminology does not appear on any student page: no bare 'CER' acronym (organizer labels spell out Claim / Evidence / Reasoning), no 'sensemaking', 'scaffold', 'tier', 'formative', 'misconception', or 'differentiation'. Scaffold prompts are introduced by a short student-friendly heading on its own line (e.g. 'Check your thinking', 'Observe the data first') — never a long bold inline label announcing the pedagogy ('Before Task 2 — sensemaking check:'). Fail = any teacher-jargon term or pedagogy-announcing label printed on a worksheet.",,
O8,O — Output / Formatting,Information density,"The teacher plan presents parallel tier content (what each tier does, scaffolds, worksheet tasks) in a comparison table — never three stacked multi-sentence per-tier paragraph blocks. Paragraphs stay within roughly 3 sentences; longer material is bulleted or tabled. Asides such as misconception watch-fors and conferring moves appear as distinct callouts or notes, not sentences buried inside paragraphs. Fail = per-tier paragraph stacks, any wall-of-text paragraph, or watch-fors/conferring moves embedded mid-paragraph.",,
O9,O — Output / Formatting,Writing space matches demand,"Every student task, exit ticket, and extension prompt on every worksheet is followed by visible blank writing space (or writable organizer rows) proportionate to the expected response: multi-sentence explanations get generous open space, fill-in rows get a line or two, and answer columns in organizers are at least as wide as their prompt columns. Fail = any prompt demanding written work with no adjacent space, organizer rows too short to write in, or an answer column squeezed narrower than its prompt column.",,
P10,P — Pedagogy,Standards economy,"The target standard's full text appears exactly once in the teacher plan (header or standards callout). Everywhere else — prerequisite grounding, forward standard, tier rationale, the three-dimensional map — standards are referenced by code plus a short gist of ten words or fewer, never re-pasted in full. Fail = the full target standard repeated, prerequisite or forward standards quoted verbatim, or the target standard missing entirely.",,
