ID,Bucket,Criterion,What pass requires,Notes,Conditional
P1,P — Pedagogy,Standard named verbatim (중등) / official-text caveat carried (초등),"중등 (codes [9…], [10…], [12…]): the target standard appears as the learning map's officialText in full in the lesson plan header, and every restatement matches it word-for-word. 초등: elementary learning-map records carry sourceTextIncluded: false, so the text is a mechanical derivative — pass requires the reconstructed statement in the header PLUS a footer telling the teacher to check it against the official 고시문; claiming it is verbatim is a FAIL. Fail (both) = code-only citation, paraphrase, or wording that drifts between header and body.","Split from upstream's unconditional verbatim demand. Scoring 초등 lessons against a verbatim standard would fail every one of them, or push the skill into asserting verbatim status it cannot support. Source: curriculum-kr-mcp.md 초등 원문 주의.",
P2,P — Pedagogy,Prerequisite named — or honestly marked as inferred,"A prior standard or prerequisite concept is identified specifically enough that a teacher knows what to check. Pass = a named standard code (e.g. [6과03-02]) sourced from the learning map's edges, OR — when get_prerequisites returns directEdges: [] — a specific named concept explicitly labelled 추정 (inferred). Fail = a vague reference ('과학 기초 지식이 필요하다'), or an unmarked prerequisite code presented as if the learning map supplied it when it did not.","ADR-3: the learning map records only officially grounded relations, and many standards have no edges. Demanding a sourced prerequisite unconditionally would push the skill into fabricating edges — the exact failure the ADR exists to prevent.",
P3,P — Pedagogy,"지식·이해 target is an enduring understanding, not the activity","The 지식·이해 target states a conceptual understanding that outlives the lesson ('학생은 광합성량이 특정 지점까지만 환경 요인에 비례한다는 것을 이해한다'), not a restatement of what students will do ('학생은 실험을 한다'). Pass = the target names an idea, not a task. Fail = the 지식·이해 bullet describes the activity, restates the standard verbatim, or is so broad it would fit any lesson in the unit.","Upstream tested Big Idea vs SWBAT separation; the 3범주 frame already separates understanding from observable action (scored by P-S1), so this criterion is repointed at the remaining upstream intent — that the understanding is a durable idea rather than an activity label.",
P4a,P — Pedagogy,Anticipated student thinking — count within the cap,"2–3 entries of 예상되는 학생 생각·오개념 are named, with 3 as the ceiling. Pass = 2 or 3 entries. Fail = fewer than 2, or more than 3.","Upstream demanded 'at least 3'; science.md §섹션 구조 5 caps the section at 최대 3개 for density. The upstream floor and the Korean ceiling only overlap at exactly 3, so an unconditional 'at least 3' makes the ceiling unreachable without risking a fail.",
P4b,P — Pedagogy,Anticipated student thinking — each entry is complete,"Each entry names all three of science.md's columns: 학생의 생각 (what students think), 지속되는 이유 (why it persists), 교사의 대응 (a specific teacher move). Pass = all three present in every entry. Fail = any entry missing a column, or teacher moves that are generic ('다시 설명한다', '확인한다').","Column labels match the table science.md prescribes, so the judge can check them positionally.",
P5,P — Pedagogy,Lesson phases present and sequenced correctly,"The lesson has a recognizable instructional arc appropriate to the domain with time allocations on each phase. Pass = all required phases present with times. Fail = phases missing, merged, or unlabeled.",,
P6a,P — Pedagogy,Look-fors — minimum count,At least 3 look-fors are named for the main practice or work phase. Pass = 3 or more entries. Fail = fewer than 3.,,
P6b,P — Pedagogy,"Look-fors — observable behavior, attributed to a category","Each look-for describes a specific observable student behavior, says which of the three categories (지식·이해 / 과정·기능 / 가치·태도) it is evidence for and why that matters, and gives a teacher move. In the observation template each look-for is prefixed with its category. Fail = any look-for reads as a teacher instruction ('순회하며 확인한다') rather than an observable student behavior, or carries no category attribution.",science.md §섹션 구조 6 requires 3+ look-fors per inquiry phase each naming 성취기준의 어느 범주에 왜 중요한지; the mapping section requires the category prefix in the observation template. Upstream's math-flavored multiple-correct-response clause is dropped — it does not transfer.,
P7,P — Pedagogy,Visual scaffolds with rationale,"Visual or representational choices are pedagogically informed WITH stated rationale — e.g., a drawing-first option, an intentional choice not to pre-print a diagram, or guidance on when to introduce a visual model and why. Pass = at least one visual or representational choice with explicit reasoning. Fail = visuals appear without rationale, or no visual/representational thinking is evident in the plan.",,
P8,P — Pedagogy,Student engagement hook,"At least one task is designed to generate genuine student curiosity or interest — an unexpected or novel context, an open-ended question, a real-world scenario students would care about, or productive-struggle design. A generic word problem or comprehension task does not count; there must be a deliberate hook. Not every task needs this quality — one is sufficient.",,
