ID,Bucket,Criterion,What pass requires,Notes,Conditional
V1,V — Visual,콜아웃 kind 구분 가시성,한글 또는 PDF에서 성취기준(초록 #5BB088)·학생 과제(파랑 #9FB8D8)·교사 노트(노랑 #E8C98A) 콜아웃이 테두리색과 아이콘(★/※/◆)으로 한눈에 구분된다. 흑백 인쇄에서도 아이콘만으로 구분이 유지된다.,자동 검사 F5는 색 '정의'까지만 본다 — 실제 렌더 가시성은 육안/판정 몫.,
V2,V — Visual,표 열폭 적정성,라벨 열은 좁고 서술 열은 넓다(어휘 표 약 30/70). 4열 이상 표에서 짧은 열이 긴 열과 같은 폭을 차지하지 않는다. 셀 안 텍스트가 어색하게 접히거나 넘치지 않는다.,렌더러 _col_widths의 sqrt 가중이 잘 동작하는지에 대한 시각 판정.,
V3,V — Visual,목록 정렬,글머리 기호(•/□/번호) 목록에서 두 줄 이상 항목의 둘째 줄이 글머리 기호가 아니라 첫 줄 본문에 맞춰 정렬된다(내어쓰기).,자동 검사 F4의 시각 확인판.,
V4,V — Visual,문제-답란 동반 배치,학생 학습지에서 과제 지시문과 그 답란(쓰기 공간·표)이 같은 쪽에 함께 있다. 쪽 경계가 지시문과 답란 사이를 가르지 않는다.,emit_group 쪽나눔 프로브의 실측 검증. 쪽수 실측(COM)과 함께 본다.,
V5,V — Visual,쪽 하단 공백 적정성,고정 높이 표의 쪽 나눔 때문에 쪽 하단에 본문 1/3 이상의 빈 공간이 생기지 않는다. 생겼다면 표 앞 쪽 나눔 판단(SectionWriter)의 오차다.,est 추정 기반 쪽 나눔의 한계 감시 항목.,
V6,V — Visual,글꼴 일관성,"한글·영문·숫자·단위(CO2, 25℃, mL)가 같은 산세리프 계열로 보인다. 영문만 고정폭이거나 세리프로 튀지 않는다. 아이콘 문자(★※◆·□)가 네모(폴백)로 깨지지 않는다.",자동 검사 F1/F3의 시각 확인판.,
V7,V — Visual,쪽번호와 문서 식별,2쪽 이상 문서의 모든 쪽 하단에 쪽번호가 찍힌다. 학습지 여러 장을 섞어도 첫 쪽 제목(모둠명 포함)으로 문서를 식별할 수 있다.,,
V8,V — Visual,HTML 미리보기와 시각 동등성,"HTML과 한글 문서를 나란히 놓았을 때 내용 순서·표 구조·강조 위치가 같다. 형식 차이(글꼴·둥근 모서리)는 허용하되, 한쪽에만 있는 시각 요소(누락된 표·상자·구분선)는 없다.",자동 파리티 P1/P2는 텍스트만 본다 — 구조·시각 요소 대응은 판정 몫.,
V9,V — Visual,여러 쪽 표의 머리행 반복,관찰 기록표 등 쪽을 넘어가는 표에서 다음 쪽 첫 행에 머리행이 반복된다.,자동 검사 F6의 실측 확인판 — repeatHeader 속성이 한글에서 실제로 동작하는지.,쪽을 넘는 표가 있는 문서에만 적용 (없으면 skip)
V10,V — Visual,편집 가능성,교사가 한글에서 표 셀에 텍스트를 추가해도 레이아웃이 무너지지 않는다. 문서 끝(마지막 표 아래)에 커서를 놓을 수 있다.,자동 검사 F9 + 셀 고정 높이의 실사용 검증.,
