ID,Bucket,Criterion,What pass requires,Notes,Conditional
P1,P — Pedagogy,Standard scope preserved across tiers,"The target standard is named consistently across all three tiered worksheets (가 / 나 / 다 모둠), and the tasks on each tier address that standard — no tier substitutes a different concept or skill. FIRST identify the structurally hardest demand of the target standard yourself; verify it stays in play at EVERY tier — scaffolded at 가 모둠 (기초), not dropped. State the hardest demand in the explanation.",Tier names fixed to the Korean group labels the skill renders (가/나/다 모둠 = 기초/보통/심화).,
P2,P — Pedagogy,Prereq / forward grounding — sourced or marked 추정,"기초 tier explicitly names a specific prerequisite standard or concept; 심화 tier explicitly names a specific forward standard or extension concept. Both appear in the teacher plan and are traceable to the tier's design. Learning-map edges (get_prerequisites / get_transitions) are the preferred source; when the map returns nothing, a named concept explicitly labelled 추정 passes. A vague reference ('배경 지식이 필요하다') does not. Fail = unmarked codes presented as map-sourced when they were not.",ADR-3 — same honesty rule as the planning rubric's P2. get_transitions returning zero is common and must not push the model into inventing a forward link.,
P3,P — Pedagogy,Scaffolds support thinking,"No scaffold in any tier provides the answer directly: no fill-in-the-blank with only one possible word, no embedded answer key, no step-by-step guide requiring zero student decisions, and no keyword or shortcut strategies (math: ""'together' means add""; ELA: ""the central idea is always in the first sentence""; a sentence starter that hands the student the claim). At least one problem or task in each tier requires a student decision that is not resolved by the scaffold provided.",,
P4,P — Pedagogy,Proficiency-based differentiation,"The differentiation between tiers is achieved by varying supports and cognitive demand, not by varying topic, context, or learning channel (visual/auditory/kinesthetic). 가 모둠 (기초) and 나 모둠 (보통) address the same question in the same context; 다 모둠 (심화) extends that same task.",Catches the learning-styles failure mode. Tier labels fixed to the Korean group names the skill renders.,
P5,P — Pedagogy,Invisible-modifications rule,"Every tier works toward the SAME objective in the SAME scenario or text context. Task wording and supports MAY vary between tiers — judge the goal, not the phrasing. Differences must be limited to phrasing, added supports, visual aids, sentence frames, or a reduced number of tasks. Fail ONLY if a tier changes the goal, the context, or the kind of work students produce (e.g., one tier writes about a different topic, or answers multiple-choice while the others compose). Quote any tier where the goal or context itself changed.",,
P6,P — Pedagogy,Concrete representations at 기초 tier,"기초-tier materials include at least one concrete representation or visual support — labeled diagram, graphic organizer, observation table, image, or data-conversion frame — on the same page or activity as a target-concept task, not relegated to a separate reference section.","Upstream's math/ELA examples (number line, tape diagram, story map) removed; this port is science-only.",
P7,P — Pedagogy,Scaffold fade pattern,"Scaffolds are not uniformly present across all problems. Some problems have more support than others, creating a visible reduction in scaffold density within the tier or across the problem set (e.g., the last tasks in each tier carry less embedded support than the first).",,
P8,P — Pedagogy,Flexible grouping language,"Teacher plan states tier assignments explicitly, justifies how students are assigned to tiers (what evidence places a student in a tier), and includes language indicating groups are revisable based on formative evidence from this lesson (e.g., exit-ticket-driven regrouping) — not static ability tracks.",,
P9,P — Pedagogy,No textbook-publisher content or naming,"Unless the teacher confirmed a publisher, no publisher name, textbook title, or unit number appears anywhere in the output. Even when a publisher IS named, that textbook's activities, readings, illustrations, and items are never reproduced. Fail = any publisher-specific content reproduced, or a publisher name the teacher never confirmed.","Korean counterpart of upstream's curriculum bleed-through guardrail (IM centers, scientist circle). Korea has one national curriculum, so the risk is 검정 textbook copyright and publisher neutrality — not proprietary routine names.",
R1,R — Rigor,Cognitive demand preserved across tiers,"All three tiers require students to do more than compute or recall: at least one task in each tier asks students to explain, justify, compare, or apply their understanding. No tier is limited to rote procedural steps — name any tier that is.",,
R2,R — Rigor,Engagement preserved at 기초 tier,"The problem context, real-world scenario, or phenomenon used in the 나 모둠 (보통) worksheet appears — unchanged or closely parallel — in the 가 모둠 (기초) worksheet. 가 모둠 does not receive a stripped-down or drill-only version while 나·다 모둠 receive the interesting version.",Avoids creating 'work' for the 기초 tier and 'fun' for the 심화 tier.,
R3,R — Rigor,Student agency prompt on each worksheet,"Each tiered worksheet includes at least one open-ended or self-reflection prompt (e.g., ""explain your thinking,"" ""what strategy did you use?"", ""how confident are you?""). A 'show/explain how you know' prompt attached to a task counts. The prompt appears on all three tiers — name any tier missing it.",Keeps differentiation from becoming rote.,
O1,O — Output/Format,"Correct file structure, complete in one output turn","Output includes a single cohesive teacher-facing plan and three separate student-facing worksheets (가 / 나 / 다 모둠 = 기초 / 보통 / 심화), all delivered with substance in a single output turn once the build is underway. The in-chat draft, clarifying questions, and the turns that answer them precede the build and do not count against this criterion.",Tier labels fixed to the Korean group names the skill renders.,
O2,O — Output/Format,Formative checks included,"Teacher plan includes at least one mid-lesson check point more specific than ""circulate and observe"" — a check with a defined trigger, artifact, or decision — plus a tiered exit ticket whose sort buckets (Got it / Almost there / Needs re-teaching) carry explicit criteria distinguishing them.",,
O3,O — Output/Format,Anchor activity included,"Teacher plan includes an explicitly labeled anchor activity (e.g., ""Early finishers:"" or ""Anchor activity:"") that asks students to produce something — an explanation, a creation, a connection, or a question — rather than complete additional practice problems identical to the main worksheet.",,
O4,O — Output/Format,Teacher rationale notes,"Teacher plan includes at least two explicitly labeled rationale notes (e.g., ""Why this works:"", ""Pedagogical note:"") that each name a specific tier design choice and state a reason for it. Generic statements (""scaffolds help learners"") do not count.",,
O5,O — Output/Format,Universal design access features,"Differentiated materials include at least two of the following applied across ALL tiers, not only 가 모둠 (기초): sentence stems or frames, vocabulary glossary or word bank, diagram or visual representation, home-language support, or multiple-format response option. Name the features and where they appear; features appearing only on 가 모둠 do not satisfy this.",'Bilingual support' rewritten as home-language support — the skill's wording when the teacher has not named a specific language.,
O6,O — Output/Format,Teacher/student artifact alignment,"Two-direction cross-read. Direction 1: every task or activity the teacher plan describes for students has a corresponding student-facing version in at least one worksheet (anchor activities included — if the plan says early finishers build or write something, a printed task for it must exist somewhere). Direction 2: every discrete task on each worksheet appears in the teacher plan's description of that tier. List every mismatch with the document and task quoted; pass only if BOTH directions are clean.",Independent check of teacher/student mismatch — a common failure mode.,
O7,O — Output/Format,Closing next-steps section present,"Teacher plan closes with a labeled section (heading or inline label using terms such as 'Next Steps', 'Follow-up options', 'Iterations available', or equivalent) that provides substantive, lesson-specific guidance. The section must address at least three distinct outcomes or actions — e.g., what to do for each exit-ticket sort bucket, or what follow-up options are available for specific learner needs. Guidance must be specific to this lesson's content and student evidence; generic placeholders ('let me know if you want changes', 'adjust as needed') do not count. Pass if a teacher could act on the section without additional context.",,
M1,M — Model Scaffolding,Source lesson detected,"Reads the uploaded or linked source lesson on the first attempt and names the standard correctly — correct code and, for 중등, the learning map's officialText verbatim. For 초등 the reconstructed statement is expected instead, and must not be described as verbatim.",Mirrors the planning rubric's P1 split — elementary records are sourceTextIncluded: false.,
M2,M — Model Scaffolding,Learner needs question,"Before or alongside first generation, asks about specific learner needs (multi-lingual learner, individual education plan, etc) or explicitly states that universal design defaults are applied if no information is provided. Silence on learner needs is a fail.",,
M3,M — Model Scaffolding,Asks scope if needed,Asks for tier scope if unspecified; auto-passes when scope is already given in the prompt.,,
M4,M — Model Scaffolding,Iteration options at close,"Closes with 3+ specific, lesson-relevant follow-up options (e.g. 한국어 지원이 필요한 학생용 문장 지원 강화, 개별화교육계획 대응 스캐폴드, 4단계 중재 수준 추가, 범위 축소). Options must be specific to this lesson — a generic menu ('난이도 조정, 문항 추가, 형식 변경') fails.","Upstream's WIDA English Language Development example replaced with the Korean equivalents the skill actually offers (다문화·한국어 지원, 개별화교육계획).",
O10,O — Output / Formatting,Student-facing voice,"Student worksheets use age-appropriate student language. Instructional-design terminology does not appear on any student page: no 주장-증거-추론 organizer left as a bare acronym (labels spell the parts out), and none of 형성 확인, 오개념, 스캐폴드, 수준, 차별화, 의미 구성. Scaffold prompts are introduced by a short student-friendly heading on its own line ('생각을 확인해 보세요', '자료를 먼저 살펴보세요') — never a long bold inline label announcing the pedagogy. Fail = any teacher-jargon term or pedagogy-announcing label printed on a worksheet.",Jargon list replaced with the Korean terms this skill actually risks leaking (verified against the 2026-08-01 differentiation port check).,
O8,O — Output / Formatting,Information density,"The teacher plan presents parallel tier content (what each tier does, scaffolds, worksheet tasks) in a comparison table — never three stacked multi-sentence per-tier paragraph blocks. Paragraphs stay within roughly 3 sentences; longer material is bulleted or tabled. Asides such as misconception watch-fors and conferring moves appear as distinct callouts or notes, not sentences buried inside paragraphs. Fail = per-tier paragraph stacks, any wall-of-text paragraph, or watch-fors/conferring moves embedded mid-paragraph.",,
